question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
1106,B,A,True,True,1.0,1.0,1.0
413,A,B,True,True,1.0,1.0,1.0
63,C,A,True,True,1.0,1.0,1.0
676,D,A,True,True,1.0,1.0,1.0
876,A,B,True,True,1.0,1.0,1.0
678,A,B,True,True,1.0,1.0,1.0
751,C,A,True,True,1.0,1.0,1.0
692,B,A,True,True,1.0,1.0,1.0
193,D,A,True,True,1.0,1.0,1.0
1258,A,B,True,True,1.0,1.0,1.0
1455,A,B,True,True,1.0,1.0,1.0
896,A,B,True,True,1.0,1.0,1.0
293,A,B,True,True,1.0,1.0,1.0
486,A,B,True,True,1.0,1.0,1.0
129,A,B,True,True,1.0,1.0,1.0
1439,A,B,True,True,1.0,1.0,1.0
116,C,A,True,True,1.0,1.0,1.0
1249,D,A,True,True,1.0,1.0,1.0
761,A,B,True,True,1.0,1.0,1.0
580,B,A,True,True,1.0,1.0,1.0
642,D,A,True,True,1.0,1.0,1.0
1368,D,A,True,True,1.0,1.0,1.0
719,A,B,True,True,0.875,1.0,0.9285714285714286
985,C,A,True,True,0.875,1.0,0.9285714285714286
1472,C,A,True,True,0.75,1.0,0.8571428571428571
756,B,A,True,True,0.75,1.0,0.8571428571428571
1116,C,A,True,True,0.75,1.0,0.8571428571428571
432,D,A,True,True,0.75,1.0,0.8571428571428571
1459,A,B,True,True,0.75,1.0,0.8571428571428571
833,B,A,True,True,0.625,1.0,0.7857142857142857
1238,C,A,True,True,0.625,1.0,0.7857142857142857
1393,C,A,True,True,0.625,1.0,0.7857142857142857
346,C,A,True,True,0.625,1.0,0.7857142857142857
128,A,B,True,True,0.625,1.0,0.7857142857142857
894,B,A,True,True,0.625,1.0,0.7857142857142857
138,D,A,True,True,0.5,1.0,0.75
608,A,B,True,True,0.5,1.0,0.7142857142857143
1244,A,B,True,True,0.5,1.0,0.7142857142857143
822,A,B,True,True,0.5,1.0,0.7142857142857143
1344,D,A,True,True,0.375,1.0,0.6428571428571429
366,A,B,True,True,0.375,1.0,0.6428571428571429
502,C,A,True,True,0.375,1.0,0.6428571428571429
17,C,A,True,True,0.375,1.0,0.6428571428571429
19,C,A,True,True,0.375,1.0,0.6428571428571429
951,C,A,True,True,0.375,1.0,0.6428571428571429
1380,C,A,True,True,0.5,0.75,0.6428571428571429
428,C,A,True,True,0.375,1.0,0.6428571428571429
1383,D,A,False,True,0.42857142857142855,1.0,0.6153846153846154
529,D,A,True,True,0.25,1.0,0.5714285714285714
1148,B,A,False,True,0.375,1.0,0.5714285714285714
25,D,A,True,True,0.25,1.0,0.5714285714285714
1312,A,B,True,True,0.25,1.0,0.5714285714285714
417,B,A,True,True,0.25,1.0,0.5714285714285714
343,A,B,True,True,0.25,1.0,0.5714285714285714
384,D,A,True,True,0.375,0.5,0.5
1117,B,A,True,True,0.125,1.0,0.5
248,A,B,True,True,0.625,0.0,0.5
1264,B,A,True,True,0.25,0.75,0.5
884,A,B,True,True,0.125,1.0,0.5
1255,D,A,True,True,0.125,1.0,0.5
1485,C,A,False,True,0.25,1.0,0.5
909,C,A,True,True,0.0,0.6666666666666666,0.4444444444444444
505,C,A,True,True,0.0,1.0,0.42857142857142855
199,A,B,True,False,0.125,1.0,0.42857142857142855
421,B,A,True,True,0.5,0.0,0.42857142857142855
1011,A,B,True,True,0.0,1.0,0.42857142857142855
216,C,A,True,True,0.25,0.25,0.35714285714285715
1349,B,A,False,True,0.0,1.0,0.35714285714285715
1103,D,A,False,True,0.0,1.0,0.35714285714285715
257,D,A,True,False,0.0,1.0,0.35714285714285715
1196,A,B,False,True,0.0,1.0,0.35714285714285715
20,C,A,True,True,0.25,0.25,0.35714285714285715
1510,A,B,True,False,0.0,1.0,0.35714285714285715
1136,D,A,False,True,0.0,1.0,0.35714285714285715
723,A,B,True,True,0.125,0.5,0.35714285714285715
359,B,A,True,True,0.375,0.0,0.35714285714285715
446,C,A,False,True,0.0,1.0,0.35714285714285715
1478,A,B,False,False,0.0,1.0,0.2857142857142857
440,C,A,False,False,0.0,1.0,0.2857142857142857
1356,A,B,False,True,0.125,0.5,0.2857142857142857
181,D,A,True,False,0.0,0.75,0.2857142857142857
0,B,A,True,False,0.25,0.0,0.21428571428571427
92,C,A,False,False,0.375,0.0,0.21428571428571427
1436,C,A,False,True,0.0,0.5,0.21428571428571427
883,A,B,True,True,0.0,0.0,0.16666666666666666
1515,B,A,False,False,0.14285714285714285,0.25,0.15384615384615385
967,D,A,False,False,0.0,0.5,0.14285714285714285
809,A,B,False,False,0.0,0.5,0.14285714285714285
465,C,A,False,False,0.125,0.25,0.14285714285714285
848,A,B,False,False,0.25,0.0,0.14285714285714285
117,A,B,True,False,0.0,0.25,0.14285714285714285
3,B,A,False,False,0.0,0.5,0.14285714285714285
1526,C,A,False,False,0.16666666666666666,0.0,0.08333333333333333
245,B,A,True,False,0.0,0.0,0.07692307692307693
1130,D,A,False,False,0.14285714285714285,0.0,0.07692307692307693
313,B,A,True,False,0.0,0.0,0.07692307692307693
921,A,B,True,False,0.0,0.0,0.07692307692307693
1447,C,A,False,False,0.125,0.0,0.07142857142857142
727,D,A,False,False,0.0,0.25,0.07142857142857142
544,B,A,False,False,0.125,0.0,0.07142857142857142
1024,A,B,False,False,0.125,0.0,0.07142857142857142
1063,A,B,False,False,0.125,0.0,0.07142857142857142
1405,C,A,True,False,0.0,0.0,0.07142857142857142
1064,A,B,True,False,0.0,0.0,0.07142857142857142
974,C,A,False,False,0.0,0.25,0.07142857142857142
71,C,A,False,True,0.0,0.0,0.07142857142857142
176,C,A,True,False,0.0,0.0,0.07142857142857142
415,B,A,True,False,0.0,0.0,0.07142857142857142
1038,D,A,False,False,0.0,0.0,0.0
1042,B,A,False,False,0.0,0.0,0.0
1049,A,B,False,False,0.0,0.0,0.0
1050,C,A,False,False,0.0,0.0,0.0
1044,D,A,False,False,0.0,0.0,0.0
1036,D,A,False,False,0.0,0.0,0.0
1048,B,A,False,False,0.0,0.0,0.0
1035,D,A,False,False,0.0,0.0,0.0
1115,D,A,False,False,0.0,0.0,0.0
1111,B,A,False,False,0.0,0.0,0.0
1102,C,A,False,False,0.0,0.0,0.0
1099,B,A,False,False,0.0,0.0,0.0
1097,B,A,False,False,0.0,0.0,0.0
1094,D,A,False,False,0.0,0.0,0.0
1091,D,A,False,False,0.0,0.0,0.0
1086,B,A,False,False,0.0,0.0,0.0
1085,D,A,False,False,0.0,0.0,0.0
1081,D,A,False,False,0.0,0.0,0.0
1080,B,A,False,False,0.0,0.0,0.0
1032,A,B,False,False,0.0,0.0,0.0
1078,C,A,False,False,0.0,0.0,0.0
1077,C,A,False,False,0.0,0.0,0.0
1076,D,A,False,False,0.0,0.0,0.0
1072,D,A,False,False,0.0,0.0,0.0
1071,D,A,False,False,0.0,0.0,0.0
1070,D,A,False,False,0.0,0.0,0.0
1066,C,A,False,False,0.0,0.0,0.0
1058,C,A,False,False,0.0,0.0,0.0
1057,A,B,False,False,0.0,0.0,0.0
1053,B,A,False,False,0.0,0.0,0.0
1052,B,A,False,False,0.0,0.0,0.0
1079,D,A,False,False,0.0,0.0,0.0
892,C,A,False,False,0.0,0.0,0.0
900,C,A,False,False,0.0,0.0,0.0
902,C,A,False,False,0.0,0.0,0.0
904,C,A,False,False,0.0,0.0,0.0
910,D,A,False,False,0.0,0.0,0.0
911,B,A,False,False,0.0,0.0,0.0
914,B,A,False,False,0.0,0.0,0.0
981,B,A,False,False,0.0,0.0,0.0
919,C,A,False,False,0.0,0.0,0.0
922,B,A,False,False,0.0,0.0,0.0
923,C,A,False,False,0.0,0.0,0.0
925,D,A,False,False,0.0,0.0,0.0
926,C,A,False,False,0.0,0.0,0.0
930,B,A,False,False,0.0,0.0,0.0
934,D,A,False,False,0.0,0.0,0.0
943,C,A,False,False,0.0,0.0,0.0
917,A,B,False,False,0.0,0.0,0.0
828,C,A,False,False,0.0,0.0,0.0
829,A,B,False,False,0.0,0.0,0.0
834,D,A,False,False,0.0,0.0,0.0
835,B,A,False,False,0.0,0.0,0.0
846,A,B,False,False,0.0,0.0,0.0
851,B,A,False,False,0.0,0.0,0.0
852,C,A,False,False,0.0,0.0,0.0
885,B,A,False,False,0.0,0.0,0.0
855,A,B,False,False,0.0,0.0,0.0
857,D,A,False,False,0.0,0.0,0.0
859,A,B,False,False,0.0,0.0,0.0
864,C,A,False,False,0.0,0.0,0.0
865,D,A,False,False,0.0,0.0,0.0
866,D,A,False,False,0.0,0.0,0.0
874,C,A,False,False,0.0,0.0,0.0
875,B,A,False,False,0.0,0.0,0.0
853,D,A,False,False,0.0,0.0,0.0
999,D,A,False,False,0.0,0.0,0.0
1002,C,A,False,False,0.0,0.0,0.0
1008,B,A,False,False,0.0,0.0,0.0
1009,C,A,False,False,0.0,0.0,0.0
1010,D,A,False,False,0.0,0.0,0.0
1013,C,A,False,False,0.0,0.0,0.0
1014,D,A,False,False,0.0,0.0,0.0
946,C,A,False,False,0.0,0.0,0.0
1016,B,A,False,False,0.0,0.0,0.0
1019,C,A,False,False,0.0,0.0,0.0
1020,C,A,False,False,0.0,0.0,0.0
1025,B,A,False,False,0.0,0.0,0.0
1026,A,B,False,False,0.0,0.0,0.0
1027,D,A,False,False,0.0,0.0,0.0
1028,D,A,False,False,0.0,0.0,0.0
1031,D,A,False,False,0.0,0.0,0.0
1015,C,A,False,False,0.0,0.0,0.0
948,D,A,False,False,0.0,0.0,0.0
950,C,A,False,False,0.0,0.0,0.0
956,C,A,False,False,0.0,0.0,0.0
957,C,A,False,False,0.0,0.0,0.0
962,A,B,False,False,0.0,0.0,0.0
964,D,A,False,False,0.0,0.0,0.0
966,A,B,False,False,0.0,0.0,0.0
996,B,A,False,False,0.0,0.0,0.0
980,C,A,False,False,0.0,0.0,0.0
1118,B,A,False,False,0.0,0.0,0.0
982,A,B,False,False,0.0,0.0,0.0
987,B,A,False,False,0.0,0.0,0.0
989,D,A,False,False,0.0,0.0,0.0
992,C,A,False,False,0.0,0.0,0.0
993,D,A,False,False,0.0,0.0,0.0
994,D,A,False,False,0.0,0.0,0.0
968,B,A,False,False,0.0,0.0,0.0
1402,D,A,False,False,0.0,0.0,0.0
1403,B,A,False,False,0.0,0.0,0.0
1407,D,A,False,False,0.0,0.0,0.0
1410,A,B,False,False,0.0,0.0,0.0
1412,A,B,False,False,0.0,0.0,0.0
1413,A,B,False,False,0.0,0.0,0.0
1414,A,B,False,False,0.0,0.0,0.0
1175,C,A,False,False,0.0,0.0,0.0
1417,C,A,False,False,0.0,0.0,0.0
1419,D,A,False,False,0.0,0.0,0.0
1421,B,A,False,False,0.0,0.0,0.0
1425,C,A,False,False,0.0,0.0,0.0
1428,C,A,False,False,0.0,0.0,0.0
1430,C,A,False,False,0.0,0.0,0.0
1431,A,B,False,False,0.0,0.0,0.0
1433,D,A,False,False,0.0,0.0,0.0
1415,C,A,False,False,0.0,0.0,0.0
1333,A,B,False,False,0.0,0.0,0.0
1338,B,A,False,False,0.0,0.0,0.0
1342,C,A,False,False,0.0,0.0,0.0
1346,D,A,False,False,0.0,0.0,0.0
1347,B,A,False,False,0.0,0.0,0.0
1348,C,A,False,False,0.0,0.0,0.0
1352,B,A,False,False,0.0,0.0,0.0
1354,C,A,False,False,0.0,0.0,0.0
1400,C,A,False,False,0.0,0.0,0.0
1358,A,B,False,False,0.0,0.0,0.0
1369,C,A,False,False,0.0,0.0,0.0
1372,B,A,False,False,0.0,0.0,0.0
1375,B,A,False,False,0.0,0.0,0.0
1382,D,A,False,False,0.0,0.0,0.0
1385,A,B,False,False,0.0,0.0,0.0
1396,D,A,False,False,0.0,0.0,0.0
1399,B,A,False,False,0.0,0.0,0.0
1357,C,A,False,False,0.0,0.0,0.0
1488,D,A,False,False,0.0,0.0,0.0
1490,D,A,False,False,0.0,0.0,0.0
1495,A,B,False,False,0.0,0.0,0.0
1498,B,A,False,False,0.0,0.0,0.0
1499,A,B,False,False,0.0,0.0,0.0
1501,B,A,False,False,0.0,0.0,0.0
1504,D,A,False,False,0.0,0.0,0.0
1506,C,A,False,False,0.0,0.0,0.0
1435,C,A,False,False,0.0,0.0,0.0
1518,C,A,False,False,0.0,0.0,0.0
1521,C,A,False,False,0.0,0.0,0.0
1522,D,A,False,False,0.0,0.0,0.0
1523,B,A,False,False,0.0,0.0,0.0
1524,D,A,False,False,0.0,0.0,0.0
1528,B,A,False,False,0.0,0.0,0.0
1530,C,A,False,False,0.0,0.0,0.0
1531,D,A,False,False,0.0,0.0,0.0
1516,C,A,False,False,0.0,0.0,0.0
1438,A,B,False,False,0.0,0.0,0.0
1442,B,A,False,False,0.0,0.0,0.0
1448,D,A,False,False,0.0,0.0,0.0
1449,D,A,False,False,0.0,0.0,0.0
1451,C,A,False,False,0.0,0.0,0.0
1454,C,A,False,False,0.0,0.0,0.0
1456,D,A,False,False,0.0,0.0,0.0
1458,A,B,False,False,0.0,0.0,0.0
1487,A,B,False,False,0.0,0.0,0.0
1465,D,A,False,False,0.0,0.0,0.0
1468,D,A,False,False,0.0,0.0,0.0
1473,B,A,False,False,0.0,0.0,0.0
1477,D,A,False,False,0.0,0.0,0.0
1479,A,B,False,False,0.0,0.0,0.0
1480,D,A,False,False,0.0,0.0,0.0
2,C,A,False,False,0.0,0.0,0.0
1486,D,A,False,False,0.0,0.0,0.0
1461,C,A,False,False,0.0,0.0,0.0
1169,C,A,False,False,0.0,0.0,0.0
1170,C,A,False,False,0.0,0.0,0.0
1172,A,B,False,False,0.0,0.0,0.0
825,C,A,False,False,0.0,0.0,0.0
1177,C,A,False,False,0.0,0.0,0.0
1179,D,A,False,False,0.0,0.0,0.0
1185,D,A,False,False,0.0,0.0,0.0
1330,B,A,False,False,0.0,0.0,0.0
1193,B,A,False,False,0.0,0.0,0.0
1199,B,A,False,False,0.0,0.0,0.0
1200,C,A,False,False,0.0,0.0,0.0
1201,D,A,False,False,0.0,0.0,0.0
1203,D,A,False,False,0.0,0.0,0.0
