question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
1015,C,A,True,True,1.0,1.0,1.0
264,B,A,True,True,1.0,1.0,1.0
1413,A,B,True,True,0.5,1.0,0.8333333333333334
1430,C,A,False,True,1.0,0.5,0.7857142857142857
917,A,B,True,False,1.0,0.6666666666666666,0.7142857142857143
1205,D,A,False,False,1.0,0.6666666666666666,0.7
805,D,A,False,True,0.6,0.5,0.5454545454545454
978,D,A,False,True,0.16666666666666666,1.0,0.5
116,C,A,True,True,0.42857142857142855,0.0,0.4166666666666667
143,C,A,False,False,0.5,0.3333333333333333,0.38461538461538464
385,C,A,True,False,0.6,0.0,0.36363636363636365
610,A,B,False,True,0.125,0.5,0.2857142857142857
642,D,A,False,False,0.0,0.6666666666666666,0.18181818181818182
1377,B,A,True,False,0.16666666666666666,0.0,0.16666666666666666
793,D,A,False,False,0.3333333333333333,0.0,0.16666666666666666
1303,A,B,False,False,0.16666666666666666,0.25,0.16666666666666666
810,B,A,False,False,0.3333333333333333,0.0,0.16666666666666666
66,B,A,False,False,0.14285714285714285,0.25,0.15384615384615385
1124,B,A,False,False,0.25,0.0,0.14285714285714285
117,A,B,False,False,0.125,0.25,0.14285714285714285
1153,C,A,False,True,0.0,0.0,0.125
101,A,B,False,False,0.25,0.0,0.1
443,C,A,False,False,0.0,0.25,0.1
738,B,A,False,False,0.14285714285714285,0.0,0.09090909090909091
1227,A,B,False,False,0.14285714285714285,0.0,0.08333333333333333
366,A,B,False,True,0.0,0.0,0.07142857142857142
1406,B,A,False,False,0.125,0.0,0.07142857142857142
107,D,A,False,False,0.125,0.0,0.07142857142857142
672,A,B,False,False,0.125,0.0,0.07142857142857142
1030,C,A,False,False,0.0,0.0,0.0
1108,D,A,False,False,0.0,0.0,0.0
1028,D,A,False,False,0.0,0.0,0.0
1027,D,A,False,False,0.0,0.0,0.0
1024,A,B,False,False,0.0,0.0,0.0
1023,B,A,False,False,0.0,0.0,0.0
1020,C,A,False,False,0.0,0.0,0.0
1013,C,A,False,False,0.0,0.0,0.0
1122,B,A,False,False,0.0,0.0,0.0
1009,C,A,False,False,0.0,0.0,0.0
1004,B,A,False,False,0.0,0.0,0.0
994,D,A,False,False,0.0,0.0,0.0
993,D,A,False,False,0.0,0.0,0.0
992,C,A,False,False,0.0,0.0,0.0
989,D,A,False,False,0.0,0.0,0.0
987,B,A,False,False,0.0,0.0,0.0
984,D,A,False,False,0.0,0.0,0.0
1111,B,A,False,False,0.0,0.0,0.0
980,C,A,False,False,0.0,0.0,0.0
1011,A,B,False,False,0.0,,0.0
1097,B,A,False,False,0.0,0.0,0.0
1095,D,A,False,False,0.0,0.0,0.0
1094,D,A,False,False,0.0,0.0,0.0
1092,B,A,False,False,0.0,0.0,0.0
1091,D,A,False,False,0.0,0.0,0.0
1090,C,A,False,False,0.0,0.0,0.0
1112,B,A,False,False,0.0,0.0,0.0
1081,D,A,False,False,0.0,0.0,0.0
1079,D,A,False,False,0.0,0.0,0.0
1078,C,A,False,False,0.0,0.0,0.0
1036,D,A,False,False,0.0,0.0,0.0
1102,C,A,False,False,0.0,0.0,0.0
1071,D,A,False,False,0.0,0.0,0.0
1116,C,A,False,False,0.0,0.0,0.0
1103,D,A,False,False,0.0,0.0,0.0
1048,B,A,False,False,0.0,0.0,0.0
1118,B,A,False,False,0.0,0.0,0.0
1106,B,A,False,False,0.0,0.0,0.0
1045,B,A,False,False,0.0,0.0,0.0
1119,C,A,False,False,0.0,0.0,0.0
1042,B,A,False,False,0.0,0.0,0.0
1031,D,A,False,False,0.0,0.0,0.0
1075,B,A,False,False,0.0,0.0,0.0
867,C,A,False,False,0.0,0.0,0.0
863,D,A,False,False,0.0,0.0,0.0
859,A,B,False,False,0.0,0.0,0.0
856,C,A,False,False,0.0,0.0,0.0
852,C,A,False,False,0.0,0.0,0.0
851,B,A,False,False,0.0,0.0,0.0
850,D,A,False,False,0.0,0.0,0.0
846,A,B,False,False,0.0,0.0,0.0
844,A,B,False,False,0.0,0.0,0.0
839,B,A,False,False,0.0,0.0,0.0
835,B,A,False,False,0.0,0.0,0.0
834,D,A,False,False,0.0,0.0,0.0
950,C,A,False,False,0.0,0.0,0.0
828,C,A,False,False,0.0,0.0,0.0
826,D,A,False,False,0.0,0.0,0.0
824,B,A,False,False,0.0,0.0,0.0
822,A,B,False,False,0.0,0.0,0.0
818,A,B,False,False,0.0,0.0,0.0
813,C,A,False,False,0.0,0.0,0.0
804,C,A,False,False,0.0,0.0,0.0
800,A,B,False,False,0.0,0.0,0.0
799,C,A,False,False,0.0,0.0,0.0
795,A,B,False,False,0.0,0.0,0.0
794,B,A,False,False,0.0,0.0,0.0
787,D,A,False,False,0.0,0.0,0.0
831,C,A,False,False,0.0,0.0,0.0
974,C,A,False,False,0.0,,0.0
969,B,A,False,False,0.0,0.0,0.0
966,A,B,False,False,0.0,0.0,0.0
964,D,A,False,False,0.0,0.0,0.0
963,B,A,False,False,0.0,0.0,0.0
960,C,A,False,False,0.0,0.0,0.0
1127,B,A,False,False,0.0,0.0,0.0
945,C,A,False,False,0.0,0.0,0.0
943,C,A,False,False,0.0,0.0,0.0
936,C,A,False,False,0.0,0.0,0.0
935,C,A,False,False,0.0,0.0,0.0
930,B,A,False,False,0.0,0.0,0.0
870,C,A,False,False,0.0,0.0,0.0
923,C,A,False,False,0.0,0.0,0.0
921,A,B,False,False,0.0,0.0,0.0
919,C,A,False,False,0.0,0.0,0.0
915,B,A,False,False,0.0,0.0,0.0
914,B,A,False,False,0.0,0.0,0.0
913,B,A,False,False,0.0,0.0,0.0
911,B,A,False,False,0.0,0.0,0.0
910,D,A,False,False,0.0,0.0,0.0
909,C,A,False,False,0.0,0.0,0.0
900,C,A,False,False,0.0,0.0,0.0
885,B,A,False,False,0.0,0.0,0.0
871,A,B,False,False,0.0,0.0,0.0
926,C,A,False,False,0.0,0.0,0.0
