total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
3080,9,0.29,13,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,11,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,9,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,28,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,31,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,34,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,37,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,24,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,26,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,22,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,18,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,62,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,65,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,71,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,76,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,83,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,84,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,58,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,61,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,53,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,54,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,55,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,51,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,48,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,50,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,42,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,45,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,98,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,103,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,118,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,108,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,120,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,121,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,117,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,123,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,102,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,101,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,100,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,99,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,88,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,91,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,89,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,260,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,282,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,268,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,277,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,274,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,272,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,333,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,335,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,339,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,306,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,308,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,310,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,312,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,318,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,304,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,296,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,223,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,176,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,177,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,179,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,181,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,187,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,197,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,189,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,188,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,200,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,222,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,225,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,216,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,209,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,213,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,207,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,205,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,153,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,154,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,162,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,167,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,171,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,173,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,143,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,148,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,142,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,138,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,144,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,134,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,131,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,132,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,127,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,124,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,347,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,341,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,343,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,345,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,331,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,328,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,326,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,324,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,334,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,291,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,246,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,249,B,A,True,True,1.0,1.0,1.0
3080,9,0.29,243,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,236,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,233,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,232,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,250,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,261,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,262,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,264,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,254,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,253,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,256,C,A,True,True,1.0,1.0,1.0
3080,9,0.29,257,D,A,True,True,1.0,1.0,1.0
3080,9,0.29,252,A,B,True,True,1.0,1.0,1.0
3080,9,0.29,38,D,A,True,True,0.875,1.0,0.9285714285714286
3080,9,0.29,214,B,A,True,True,0.875,1.0,0.9285714285714286
3080,9,0.29,270,C,A,True,True,0.875,1.0,0.9285714285714286
3080,9,0.29,129,A,B,True,True,0.875,1.0,0.9285714285714286
3080,9,0.29,126,A,B,True,True,0.875,1.0,0.9285714285714286
3080,9,0.29,156,B,A,True,True,0.875,1.0,0.9285714285714286
3080,9,0.29,104,B,A,True,True,0.875,1.0,0.9285714285714286
