total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
10752,112,1.04,1017,D,A,True,True,1.0,1.0,1.0
10752,112,1.04,1015,C,A,True,True,1.0,1.0,1.0
10752,112,1.04,1303,A,B,True,True,1.0,1.0,1.0
10752,112,1.04,234,B,A,True,True,1.0,1.0,1.0
10752,112,1.04,917,A,B,True,True,1.0,1.0,1.0
10752,112,1.04,264,B,A,True,True,1.0,1.0,1.0
10752,112,1.04,1245,D,A,True,True,1.0,1.0,1.0
10752,112,1.04,390,C,A,True,True,1.0,1.0,1.0
10752,112,1.04,1430,C,A,True,True,1.0,1.0,1.0
10752,112,1.04,140,A,B,True,True,1.0,1.0,1.0
10752,112,1.04,595,C,A,True,True,0.875,1.0,0.9285714285714286
10752,112,1.04,1448,D,A,True,True,0.75,0.5,0.7142857142857143
10752,112,1.04,1191,A,B,False,True,0.75,0.5,0.6428571428571429
10752,112,1.04,675,D,A,False,False,0.125,1.0,0.35714285714285715
10752,112,1.04,1377,B,A,False,False,0.0,1.0,0.2857142857142857
10752,112,1.04,112,A,B,False,False,0.0,1.0,0.2857142857142857
10752,112,1.04,1413,A,B,True,False,0.25,0.0,0.21428571428571427
10752,112,1.04,259,C,A,False,False,0.375,0.0,0.21428571428571427
10752,112,1.04,565,D,A,False,False,0.125,0.25,0.14285714285714285
10752,112,1.04,653,C,A,False,False,0.3333333333333333,0.0,0.1111111111111111
10752,112,1.04,385,C,A,True,False,0.0,0.0,0.07692307692307693
10752,112,1.04,1246,C,A,False,False,0.0,0.25,0.07142857142857142
10752,112,1.04,1030,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1031,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1035,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1036,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1037,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1028,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1042,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1044,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1045,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1038,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,980,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,984,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,985,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,987,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,989,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,992,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,993,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,994,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,996,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1002,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1023,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1009,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1011,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1013,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1014,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1019,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1020,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1048,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1024,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1025,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1026,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1027,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1004,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1103,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1106,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1108,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1111,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1112,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1113,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1116,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1118,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1119,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1122,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1124,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,981,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1128,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1129,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1133,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1134,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1136,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1137,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1139,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1141,A,B,False,False,0.0,,0.0
10752,112,1.04,1143,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1146,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1148,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1127,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1049,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1050,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1052,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1053,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1057,A,B,False,False,0.0,0.0,0.0
10752,112,1.04,1062,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1066,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1069,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1071,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1075,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1077,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1102,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1079,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1081,D,A,False,False,0.0,0.0,0.0
10752,112,1.04,1084,C,A,False,False,0.0,0.0,0.0
10752,112,1.04,1086,B,A,False,False,0.0,0.0,0.0
10752,112,1.04,1087,D,A,False,False,0.0,0.0,0.0
