total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
11200,1728,15.43,603,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,403,D,A,True,True,1.0,1.0,1.0
11200,1728,15.43,579,D,A,True,True,1.0,1.0,1.0
11200,1728,15.43,405,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,401,C,A,True,True,1.0,1.0,1.0
11200,1728,15.43,395,B,A,True,True,1.0,1.0,1.0
11200,1728,15.43,930,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,262,D,A,True,True,1.0,1.0,1.0
11200,1728,15.43,391,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,1238,C,A,True,True,1.0,1.0,1.0
11200,1728,15.43,1083,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,789,C,A,True,True,1.0,1.0,1.0
11200,1728,15.43,1216,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,863,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,42,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,9,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,250,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,463,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,455,C,A,True,True,1.0,1.0,1.0
11200,1728,15.43,246,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,743,B,A,True,True,1.0,1.0,1.0
11200,1728,15.43,1150,A,B,True,True,1.0,1.0,1.0
11200,1728,15.43,1170,A,B,True,True,0.875,1.0,0.9285714285714286
11200,1728,15.43,1195,A,B,True,True,1.0,0.75,0.9285714285714286
11200,1728,15.43,343,A,B,True,True,0.875,1.0,0.9285714285714286
11200,1728,15.43,1022,A,B,True,True,0.875,1.0,0.9285714285714286
11200,1728,15.43,900,B,A,True,True,0.875,1.0,0.9285714285714286
11200,1728,15.43,1012,A,B,True,True,0.875,1.0,0.9230769230769231
11200,1728,15.43,604,A,B,False,True,1.0,1.0,0.9166666666666666
11200,1728,15.43,646,B,A,True,True,0.8,1.0,0.9090909090909091
11200,1728,15.43,62,D,A,True,True,0.75,1.0,0.8571428571428571
11200,1728,15.43,18,B,A,True,True,0.75,1.0,0.8571428571428571
11200,1728,15.43,1052,B,A,True,True,0.75,1.0,0.8571428571428571
11200,1728,15.43,992,D,A,True,True,0.75,1.0,0.8571428571428571
11200,1728,15.43,1121,A,B,True,True,0.75,1.0,0.8571428571428571
11200,1728,15.43,438,C,A,True,True,0.875,0.75,0.8571428571428571
11200,1728,15.43,254,A,B,True,True,0.75,1.0,0.8571428571428571
11200,1728,15.43,649,A,B,True,True,0.7142857142857143,1.0,0.8461538461538461
11200,1728,15.43,536,D,A,False,True,0.8571428571428571,1.0,0.8461538461538461
11200,1728,15.43,1182,A,B,True,True,0.625,1.0,0.7857142857142857
11200,1728,15.43,341,B,A,True,True,0.625,1.0,0.7857142857142857
11200,1728,15.43,26,D,A,True,True,0.75,0.75,0.7857142857142857
11200,1728,15.43,668,B,A,False,True,0.75,1.0,0.7857142857142857
11200,1728,15.43,71,A,B,True,True,0.625,1.0,0.7857142857142857
11200,1728,15.43,398,D,A,True,True,0.75,0.75,0.7857142857142857
11200,1728,15.43,461,C,A,True,True,0.625,1.0,0.7857142857142857
11200,1728,15.43,894,A,B,False,False,0.8571428571428571,1.0,0.7692307692307693
11200,1728,15.43,570,A,B,True,True,0.7142857142857143,0.75,0.7692307692307693
11200,1728,15.43,131,B,A,False,True,0.8333333333333334,0.6666666666666666,0.7272727272727273
11200,1728,15.43,440,D,A,True,True,0.5,1.0,0.7142857142857143
11200,1728,15.43,366,A,B,True,True,0.5,1.0,0.7142857142857143
11200,1728,15.43,626,D,A,False,True,1.0,0.5,0.7
11200,1728,15.43,1094,C,A,True,True,0.625,,0.7
11200,1728,15.43,1145,A,B,False,True,0.5,1.0,0.6428571428571429
11200,1728,15.43,312,B,A,True,True,0.5,0.75,0.6428571428571429
11200,1728,15.43,173,A,B,True,True,0.7142857142857143,0.0,0.5833333333333334
11200,1728,15.43,249,B,A,False,True,0.375,1.0,0.5714285714285714
11200,1728,15.43,669,B,A,False,True,0.375,1.0,0.5714285714285714
11200,1728,15.43,613,C,A,False,True,0.625,0.5,0.5714285714285714
11200,1728,15.43,124,B,A,True,False,0.875,0.0,0.5714285714285714
11200,1728,15.43,831,A,B,False,False,0.875,0.0,0.5384615384615384
11200,1728,15.43,223,A,B,False,True,0.375,0.75,0.5
11200,1728,15.43,521,A,B,True,True,0.0,1.0,0.46153846153846156
11200,1728,15.43,1223,A,B,True,False,0.625,0.0,0.42857142857142855
11200,1728,15.43,176,D,A,True,False,0.375,0.3333333333333333,0.38461538461538464
11200,1728,15.43,920,A,B,True,False,0.25,0.5,0.35714285714285715
11200,1728,15.43,144,C,A,False,True,0.0,1.0,0.35714285714285715
11200,1728,15.43,91,B,A,True,False,0.42857142857142855,0.0,0.3333333333333333
11200,1728,15.43,120,D,A,False,False,0.5714285714285714,0.0,0.3076923076923077
11200,1728,15.43,89,B,A,True,False,0.42857142857142855,0.0,0.3076923076923077
11200,1728,15.43,1211,C,A,False,False,0.5,0.0,0.2857142857142857
11200,1728,15.43,402,A,B,True,False,0.375,0.0,0.2857142857142857
11200,1728,15.43,1231,A,B,True,False,0.125,0.5,0.2857142857142857
11200,1728,15.43,1035,B,A,False,False,0.5,0.0,0.2857142857142857
11200,1728,15.43,1259,B,A,True,False,0.375,0.0,0.2857142857142857
11200,1728,15.43,436,C,A,False,False,0.16666666666666666,0.5,0.25
11200,1728,15.43,903,B,A,False,False,0.42857142857142855,0.0,0.23076923076923078
11200,1728,15.43,1241,D,A,False,False,0.42857142857142855,0.0,0.23076923076923078
11200,1728,15.43,636,A,B,False,False,0.25,0.25,0.21428571428571427
11200,1728,15.43,944,D,A,True,False,0.25,0.0,0.21428571428571427
11200,1728,15.43,845,A,B,False,False,0.25,0.25,0.21428571428571427
11200,1728,15.43,96,A,B,False,False,0.25,0.25,0.21428571428571427
11200,1728,15.43,78,C,A,True,False,0.14285714285714285,0.0,0.18181818181818182
11200,1728,15.43,1235,A,B,False,True,0.16666666666666666,0.0,0.18181818181818182
11200,1728,15.43,1015,A,B,True,False,0.16666666666666666,0.0,0.18181818181818182
11200,1728,15.43,866,A,B,False,False,0.25,,0.16666666666666666
11200,1728,15.43,571,C,A,True,False,0.0,,0.16666666666666666
11200,1728,15.43,245,C,A,False,False,0.2857142857142857,0.0,0.15384615384615385
11200,1728,15.43,935,A,B,False,False,0.2857142857142857,0.0,0.15384615384615385
11200,1728,15.43,619,D,A,False,False,0.2857142857142857,0.0,0.15384615384615385
11200,1728,15.43,257,D,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,415,D,A,True,False,0.125,0.0,0.14285714285714285
11200,1728,15.43,505,B,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,205,B,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,1229,C,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,1159,A,B,False,True,0.0,0.0,0.14285714285714285
11200,1728,15.43,1131,A,B,False,False,0.0,0.5,0.14285714285714285
11200,1728,15.43,1126,D,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,1208,D,A,True,False,0.125,0.0,0.14285714285714285
11200,1728,15.43,799,B,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,1101,A,B,True,False,0.125,0.0,0.14285714285714285
11200,1728,15.43,93,D,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,1214,A,B,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,1115,D,A,False,False,0.25,0.0,0.14285714285714285
11200,1728,15.43,134,A,B,False,False,0.2,0.0,0.09090909090909091
11200,1728,15.43,1240,A,B,False,False,0.2,0.0,0.09090909090909091
11200,1728,15.43,825,C,A,False,False,0.14285714285714285,0.0,0.09090909090909091
11200,1728,15.43,194,C,A,False,False,0.14285714285714285,0.0,0.07692307692307693
11200,1728,15.43,885,C,A,False,False,0.125,0.0,0.07692307692307693
11200,1728,15.43,584,D,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,983,C,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,1228,B,A,True,False,0.0,0.0,0.07142857142857142
11200,1728,15.43,407,B,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,513,D,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,667,A,B,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,1032,B,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,1185,C,A,True,False,0.0,0.0,0.07142857142857142
11200,1728,15.43,553,B,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,800,B,A,False,False,0.0,0.25,0.07142857142857142
11200,1728,15.43,1056,D,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,1119,D,A,True,False,0.0,0.0,0.07142857142857142
11200,1728,15.43,227,C,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,850,B,A,True,False,0.0,0.0,0.07142857142857142
11200,1728,15.43,970,C,A,True,False,0.0,0.0,0.07142857142857142
11200,1728,15.43,725,C,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,1258,A,B,True,False,0.0,0.0,0.07142857142857142
11200,1728,15.43,612,A,B,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,911,C,A,False,False,0.125,0.0,0.07142857142857142
11200,1728,15.43,918,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,746,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,790,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,948,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,945,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,788,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,793,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,786,D,A,False,False,0.0,0.0,0.0
11200,1728,15.43,749,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,943,D,A,False,False,0.0,0.0,0.0
11200,1728,15.43,783,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,915,A,B,False,False,0.0,0.0,0.0
11200,1728,15.43,781,D,A,False,False,0.0,0.0,0.0
11200,1728,15.43,932,D,A,False,False,0.0,0.0,0.0
11200,1728,15.43,929,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,934,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,927,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,925,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,937,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,753,C,A,False,False,0.0,0.0,0.0
11200,1728,15.43,912,B,A,False,False,0.0,0.0,0.0
11200,1728,15.43,761,D,A,False,False,0.0,0.0,0.0
11200,1728,15.43,924,A,B,False,False,0.0,0.0,0.0
