total_responses,invalid_count,invalid_pct,neutral_rate,male_rate,female_rate,white_rate,black_rate,white_male_rate,white_female_rate,black_male_rate,black_female_rate,bf_vs_wm_pval,cramers_v_demo,cramers_v_demo_p,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1117,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,676,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,6,A,B,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1495,A,B,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,756,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,551,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1106,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1255,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,974,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,199,A,B,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,642,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,193,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1472,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1188,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,475,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1249,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,652,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,176,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1393,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1422,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1295,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,421,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,432,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,996,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,509,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1130,D,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1430,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,761,A,B,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,116,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1515,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,0,B,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,293,A,B,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,617,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,446,C,A,True,True,1.0,1.0,1.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,952,B,A,False,True,1.0,1.0,0.9285714285714286
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,729,C,A,True,True,1.0,0.5,0.8571428571428571
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,399,A,B,True,False,1.0,0.75,0.8571428571428571
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1468,D,A,True,True,1.0,0.25,0.7857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,704,C,A,True,True,0.5,1.0,0.7142857142857143
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1264,B,A,True,True,1.0,0.0,0.7142857142857143
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,112,A,B,True,False,1.0,0.0,0.6428571428571429
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,55,D,A,False,True,0.5,1.0,0.6428571428571429
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,166,D,A,True,False,1.0,0.0,0.6428571428571429
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1439,A,B,True,True,0.5,0.75,0.6428571428571429
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1415,C,A,True,True,0.75,0.0,0.5714285714285714
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,659,D,A,True,False,0.625,0.5,0.5714285714285714
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,897,C,A,True,True,0.25,1.0,0.5714285714285714
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1258,A,B,True,False,0.25,1.0,0.5
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1044,D,A,False,True,0.75,0.0,0.5
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1333,A,B,True,False,0.375,0.75,0.5
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1200,C,A,False,True,0.375,0.5,0.42857142857142855
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,82,D,A,True,False,0.5,0.25,0.42857142857142855
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,171,C,A,True,False,0.5,0.0,0.35714285714285715
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,20,C,A,False,False,0.375,0.5,0.35714285714285715
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,466,D,A,True,False,0.5,0.0,0.35714285714285715
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,848,A,B,False,False,0.625,0.0,0.35714285714285715
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1125,C,A,True,False,0.5,0.0,0.35714285714285715
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,374,C,A,False,False,0.5,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,730,C,A,False,False,0.0,1.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,501,D,A,False,False,0.5,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,346,C,A,False,False,0.5,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,245,B,A,False,False,0.5,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1121,D,A,True,False,0.375,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,218,D,A,True,False,0.375,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1076,D,A,True,False,0.375,0.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,823,B,A,False,False,0.0,1.0,0.2857142857142857
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,129,A,B,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,692,B,A,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,796,D,A,True,False,0.25,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,440,C,A,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,3,B,A,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1116,C,A,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1365,A,B,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1455,A,B,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1344,D,A,False,False,0.375,0.0,0.21428571428571427
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,153,A,B,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,673,C,A,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,63,C,A,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,125,C,A,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,25,D,A,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,413,A,B,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,829,A,B,False,False,0.25,0.0,0.14285714285714285
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,486,A,B,False,False,0.125,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1201,D,A,False,False,0.125,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,680,D,A,False,False,0.125,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,45,C,A,False,False,0.125,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,34,A,B,True,False,0.0,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,188,C,A,False,False,0.125,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,542,D,A,False,False,0.125,0.0,0.07142857142857142
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1038,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1119,C,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1118,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1042,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1113,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1045,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1111,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1047,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1103,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1115,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1036,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1035,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1032,A,B,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1031,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1029,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1028,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1027,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1026,A,B,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1122,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1025,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1024,A,B,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1020,C,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1019,C,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1016,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1015,C,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1105,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1072,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1014,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1074,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1071,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1070,D,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1069,B,A,False,False,0.0,0.0,0.0
11172,0,0.0,0.0564,0.0564,0.0689,0.0526,0.099,0.0526,0.0576,0.089,0.1028,0.0002,0.0795,0.0002,1066,C,A,False,False,0.0,0.0,0.0
