total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
11088,103,0.93,99,B,A,True,True,1.0,1.0,1.0
11088,103,0.93,124,B,A,True,True,1.0,1.0,1.0
11088,103,0.93,754,B,A,False,True,0.5,0.0,0.35714285714285715
11088,103,0.93,421,C,A,False,False,0.375,0.0,0.21428571428571427
11088,103,0.93,650,C,A,False,False,0.125,0.0,0.07142857142857142
11088,103,0.93,819,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,820,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,825,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,827,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,829,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,832,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,834,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,836,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,818,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,838,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,839,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,840,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,841,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,842,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,843,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,844,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,845,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,848,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,849,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,852,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,837,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,783,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,784,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,786,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,788,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,790,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,792,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,794,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,795,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,796,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,797,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,799,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,816,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,805,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,806,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,807,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,808,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,809,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,811,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,813,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,814,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,815,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,856,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,817,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,800,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,901,D,A,False,False,0.0,0.0,0.0
11088,103,0.93,902,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,904,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,907,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,908,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,910,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,911,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,912,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,915,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,916,A,B,False,False,0.0,0.0,0.0
11088,103,0.93,918,B,A,False,False,0.0,0.0,0.0
11088,103,0.93,857,C,A,False,False,0.0,0.0,0.0
11088,103,0.93,920,A,B,False,False,0.0,0.0,0.0
