total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
9044,1589,17.57,1174,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1208,C,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1106,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1033,A,B,True,True,1.0,1.0,1.0
9044,1589,17.57,166,D,A,True,True,1.0,1.0,1.0
9044,1589,17.57,978,D,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1333,A,B,True,True,1.0,1.0,1.0
9044,1589,17.57,917,A,B,True,True,1.0,1.0,1.0
9044,1589,17.57,911,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1324,D,A,True,True,1.0,1.0,1.0
9044,1589,17.57,885,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1430,C,A,True,True,1.0,1.0,1.0
9044,1589,17.57,880,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,729,C,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1368,D,A,True,True,1.0,1.0,1.0
9044,1589,17.57,138,D,A,True,True,1.0,1.0,1.0
9044,1589,17.57,386,A,B,True,True,1.0,1.0,1.0
9044,1589,17.57,125,C,A,True,True,1.0,1.0,1.0
9044,1589,17.57,480,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,610,A,B,True,True,1.0,1.0,1.0
9044,1589,17.57,642,D,A,True,True,1.0,1.0,1.0
9044,1589,17.57,243,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,155,A,B,True,True,1.0,1.0,1.0
9044,1589,17.57,359,B,A,True,True,1.0,1.0,1.0
9044,1589,17.57,1451,C,A,True,True,1.0,1.0,1.0
9044,1589,17.57,542,D,A,True,True,0.875,1.0,0.9285714285714286
9044,1589,17.57,117,A,B,True,True,0.875,1.0,0.9285714285714286
9044,1589,17.57,1258,A,B,False,True,1.0,1.0,0.9285714285714286
9044,1589,17.57,705,B,A,True,True,0.875,1.0,0.9285714285714286
9044,1589,17.57,1117,B,A,False,True,1.0,1.0,0.9285714285714286
9044,1589,17.57,1380,C,A,False,True,1.0,1.0,0.9285714285714286
9044,1589,17.57,1069,B,A,False,True,1.0,1.0,0.9166666666666666
9044,1589,17.57,1113,B,A,True,False,0.875,1.0,0.8571428571428571
9044,1589,17.57,1124,B,A,False,True,1.0,1.0,0.8571428571428571
9044,1589,17.57,14,C,A,False,True,0.875,1.0,0.8571428571428571
9044,1589,17.57,95,D,A,True,True,1.0,0.5,0.8571428571428571
9044,1589,17.57,1287,D,A,False,True,0.875,1.0,0.8571428571428571
9044,1589,17.57,521,C,A,True,True,0.6666666666666666,1.0,0.8333333333333334
9044,1589,17.57,429,A,B,True,True,0.625,1.0,0.7857142857142857
9044,1589,17.57,234,B,A,True,True,0.625,1.0,0.7857142857142857
9044,1589,17.57,1521,C,A,True,True,0.5,1.0,0.7142857142857143
9044,1589,17.57,1448,D,A,True,True,0.5,1.0,0.7142857142857143
9044,1589,17.57,789,C,A,True,False,0.625,1.0,0.7142857142857143
9044,1589,17.57,1020,C,A,True,True,0.5,1.0,0.7142857142857143
9044,1589,17.57,1188,C,A,True,True,0.5714285714285714,0.75,0.6923076923076923
9044,1589,17.57,791,A,B,False,True,1.0,,0.6666666666666666
9044,1589,17.57,1162,A,B,True,True,0.3333333333333333,1.0,0.6666666666666666
9044,1589,17.57,1241,B,A,True,True,0.375,1.0,0.6428571428571429
9044,1589,17.57,964,D,A,True,True,0.375,1.0,0.6428571428571429
9044,1589,17.57,373,A,B,False,True,0.375,1.0,0.5714285714285714
9044,1589,17.57,1502,A,B,False,True,0.375,1.0,0.5714285714285714
9044,1589,17.57,1198,B,A,False,True,0.375,1.0,0.5714285714285714
9044,1589,17.57,1322,D,A,False,False,0.5,1.0,0.5714285714285714
9044,1589,17.57,48,D,A,False,False,1.0,0.6666666666666666,0.5
9044,1589,17.57,566,D,A,True,True,0.375,0.5,0.5
9044,1589,17.57,509,B,A,False,True,0.25,1.0,0.5
9044,1589,17.57,915,B,A,False,False,0.5,1.0,0.5
9044,1589,17.57,1331,A,B,False,True,0.25,1.0,0.5
9044,1589,17.57,328,D,A,False,False,0.875,0.0,0.5
9044,1589,17.57,1009,C,A,True,False,0.375,0.75,0.5
9044,1589,17.57,625,C,A,True,True,0.0,1.0,0.42857142857142855
9044,1589,17.57,1003,D,A,True,True,0.0,1.0,0.42857142857142855
9044,1589,17.57,62,C,A,True,True,0.0,1.0,0.42857142857142855
9044,1589,17.57,528,D,A,False,True,0.0,1.0,0.35714285714285715
9044,1589,17.57,1444,A,B,False,False,0.5,0.0,0.3
9044,1589,17.57,1372,B,A,True,False,0.5,0.0,0.3
9044,1589,17.57,767,C,A,True,False,0.375,0.0,0.2857142857142857
9044,1589,17.57,1378,B,A,True,False,0.125,0.5,0.2857142857142857
9044,1589,17.57,202,B,A,True,False,0.25,0.0,0.23076923076923078
9044,1589,17.57,211,D,A,False,False,0.375,0.0,0.21428571428571427
9044,1589,17.57,735,D,A,True,False,0.2,0.0,0.18181818181818182
9044,1589,17.57,179,D,A,False,True,0.16666666666666666,0.0,0.16666666666666666
9044,1589,17.57,1315,B,A,True,False,0.16666666666666666,0.0,0.16666666666666666
9044,1589,17.57,126,A,B,True,False,0.125,0.0,0.14285714285714285
9044,1589,17.57,51,C,A,False,False,0.25,0.0,0.14285714285714285
9044,1589,17.57,653,C,A,False,False,0.0,0.5,0.14285714285714285
9044,1589,17.57,1259,C,A,True,False,0.0,0.0,0.1
9044,1589,17.57,346,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1050,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1264,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,374,C,A,False,False,0.125,0.0,0.07142857142857142
9044,1589,17.57,989,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,416,C,A,False,False,0.125,0.0,0.07142857142857142
9044,1589,17.57,1159,D,A,False,False,0.0,0.25,0.07142857142857142
9044,1589,17.57,453,A,B,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,934,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,485,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1140,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,526,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,870,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1115,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1116,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,567,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1190,C,A,False,False,0.125,0.0,0.07142857142857142
9044,1589,17.57,726,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1166,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,679,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,668,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1419,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,15,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1532,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1383,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,178,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1344,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1349,B,A,False,False,0.125,0.0,0.07142857142857142
9044,1589,17.57,1392,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,216,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1402,D,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,229,B,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,231,C,A,True,False,0.0,0.0,0.07142857142857142
9044,1589,17.57,1183,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1179,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1175,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1355,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1170,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1168,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1357,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1164,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1358,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1370,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1157,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1156,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1377,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1181,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1250,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1247,C,A,False,False,0.0,,0.0
9044,1589,17.57,1242,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1237,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1234,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1232,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1229,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1224,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1222,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1189,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1346,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1200,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1199,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1347,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1193,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1192,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1134,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1350,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1187,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1221,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1053,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,4,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1048,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1045,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1044,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1042,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1038,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1034,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,156,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1127,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1027,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,157,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1019,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1018,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1014,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1013,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1011,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,161,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,169,A,B,False,False,0.0,0.0,0.0
9044,1589,17.57,1031,D,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1129,B,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1002,C,A,False,False,0.0,0.0,0.0
9044,1589,17.57,1122,B,A,False,False,0.0,0.0,0.0
