total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
11172,1631,14.6,1531,D,A,True,True,1.0,1.0,1.0
11172,1631,14.6,0,B,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1439,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,1447,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1451,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1422,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1405,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1402,D,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1393,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,128,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,125,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,80,B,A,True,True,1.0,1.0,1.0
11172,1631,14.6,82,D,A,True,True,1.0,1.0,1.0
11172,1631,14.6,129,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,108,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,116,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,117,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,97,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,72,D,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1380,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1375,B,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1368,D,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1369,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1357,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1330,B,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1318,B,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1365,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,1200,C,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1182,A,B,True,True,1.0,1.0,1.0
11172,1631,14.6,181,D,A,True,True,1.0,1.0,1.0
11172,1631,14.6,1300,B,A,True,True,1.0,1.0,1.0
