total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
10892,4562,41.88,416,C,A,True,True,1.0,1.0,1.0
10892,4562,41.88,1272,C,A,True,True,1.0,,1.0
10892,4562,41.88,384,D,A,True,True,1.0,1.0,1.0
10892,4562,41.88,673,C,A,True,True,1.0,1.0,1.0
10892,4562,41.88,782,D,A,True,True,1.0,1.0,1.0
10892,4562,41.88,1413,A,B,True,True,1.0,1.0,1.0
10892,4562,41.88,978,D,A,True,True,1.0,1.0,1.0
10892,4562,41.88,1004,B,A,True,True,1.0,1.0,1.0
10892,4562,41.88,259,C,A,True,True,1.0,1.0,1.0
10892,4562,41.88,344,B,A,True,True,1.0,1.0,1.0
10892,4562,41.88,1013,C,A,True,True,1.0,1.0,1.0
10892,4562,41.88,642,D,A,False,True,1.0,1.0,0.9285714285714286
10892,4562,41.88,1084,C,A,True,True,0.875,1.0,0.9166666666666666
10892,4562,41.88,434,C,A,False,False,1.0,0.75,0.7857142857142857
10892,4562,41.88,534,A,B,True,True,0.625,1.0,0.7857142857142857
10892,4562,41.88,1368,D,A,True,True,0.5714285714285714,1.0,0.7692307692307693
10892,4562,41.88,1198,B,A,True,False,0.8571428571428571,0.75,0.7692307692307693
10892,4562,41.88,118,C,A,False,True,0.8333333333333334,0.75,0.75
10892,4562,41.88,391,C,A,True,False,1.0,0.5,0.75
10892,4562,41.88,811,A,B,False,True,0.625,1.0,0.7142857142857143
10892,4562,41.88,251,B,A,False,False,0.75,1.0,0.7142857142857143
10892,4562,41.88,880,B,A,True,True,1.0,0.0,0.6
10892,4562,41.88,1150,D,A,True,False,0.875,0.0,0.5714285714285714
10892,4562,41.88,30,A,B,True,True,1.0,0.0,0.5555555555555556
10892,4562,41.88,243,B,A,False,True,0.4,0.75,0.5454545454545454
10892,4562,41.88,1506,C,A,False,True,0.25,1.0,0.5
10892,4562,41.88,92,C,A,False,False,0.625,0.5,0.5
10892,4562,41.88,1015,C,A,False,False,0.7142857142857143,0.25,0.46153846153846156
10892,4562,41.88,1106,B,A,True,False,0.16666666666666666,1.0,0.45454545454545453
10892,4562,41.88,1196,A,B,False,False,1.0,0.0,0.45454545454545453
10892,4562,41.88,117,A,B,True,False,0.625,0.0,0.42857142857142855
10892,4562,41.88,636,A,B,True,False,0.625,0.0,0.42857142857142855
10892,4562,41.88,1383,D,A,True,True,0.0,1.0,0.42857142857142855
10892,4562,41.88,909,C,A,False,False,0.2,0.75,0.36363636363636365
10892,4562,41.88,293,A,B,False,True,0.5,0.0,0.35714285714285715
10892,4562,41.88,15,C,A,False,False,0.2,1.0,0.3333333333333333
10892,4562,41.88,436,C,A,True,False,0.5,0.0,0.3
10892,4562,41.88,1450,A,B,False,False,0.3333333333333333,0.3333333333333333,0.2727272727272727
10892,4562,41.88,665,C,A,False,True,0.14285714285714285,0.25,0.23076923076923078
10892,4562,41.88,1262,C,A,False,False,0.0,0.75,0.23076923076923078
10892,4562,41.88,1335,C,A,False,False,0.375,0.0,0.21428571428571427
10892,4562,41.88,89,D,A,False,False,0.0,0.5,0.2
10892,4562,41.88,147,C,A,False,False,0.25,0.25,0.2
10892,4562,41.88,1260,D,A,False,False,0.4,0.0,0.18181818181818182
10892,4562,41.88,338,A,B,False,False,0.3333333333333333,0.0,0.16666666666666666
10892,4562,41.88,939,A,B,True,True,0.0,0.0,0.16666666666666666
10892,4562,41.88,946,C,A,False,False,0.3333333333333333,0.0,0.16666666666666666
10892,4562,41.88,447,A,B,True,False,0.0,0.25,0.15384615384615385
10892,4562,41.88,174,D,A,False,False,0.2857142857142857,0.0,0.15384615384615385
10892,4562,41.88,672,A,B,False,False,0.0,0.5,0.14285714285714285
10892,4562,41.88,399,A,B,False,False,0.125,0.25,0.14285714285714285
10892,4562,41.88,950,C,A,False,False,0.2,,0.14285714285714285
10892,4562,41.88,786,D,A,False,False,0.14285714285714285,0.0,0.09090909090909091
10892,4562,41.88,87,A,B,False,False,0.16666666666666666,0.0,0.08333333333333333
10892,4562,41.88,1233,C,A,True,False,0.0,0.0,0.07692307692307693
10892,4562,41.88,129,A,B,True,False,0.0,0.0,0.07692307692307693
10892,4562,41.88,1200,C,A,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,1430,C,A,False,True,0.0,0.0,0.07142857142857142
10892,4562,41.88,53,B,A,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,43,A,B,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,1094,D,A,False,False,0.0,0.25,0.07142857142857142
10892,4562,41.88,1169,C,A,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,1478,A,B,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,1521,C,A,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,107,D,A,False,False,0.125,0.0,0.07142857142857142
10892,4562,41.88,1028,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1111,B,A,False,False,0.0,,0.0
10892,4562,41.88,1081,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1078,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1091,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1104,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1053,B,A,False,False,0.0,,0.0
10892,4562,41.88,1074,B,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1049,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,1057,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,1064,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,1103,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1102,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1042,B,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1031,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1036,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1095,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1072,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,896,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,895,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,890,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,885,B,A,False,False,0.0,0.0,0.0
10892,4562,41.88,884,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,876,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,872,B,A,False,False,0.0,0.0,0.0
10892,4562,41.88,871,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,1107,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,868,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,867,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,866,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,863,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,859,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,855,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,842,B,A,False,False,0.0,,0.0
10892,4562,41.88,822,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,870,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1024,A,B,False,False,0.0,0.0,0.0
10892,4562,41.88,1009,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1003,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,1002,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,989,D,A,False,False,0.0,0.0,0.0
10892,4562,41.88,980,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,974,C,A,False,False,0.0,0.0,0.0
10892,4562,41.88,966,A,B,False,False,0.0,0.0,0.0
